name	x	y	z	manufacturer
Fp1	80.7840 	26.1330 	-4.0011 	Brain Products GmbH
AF3	76.1528 	31.4828 	20.8468 	Brain Products GmbH
AF7	68.6911 	49.7094 	-5.9589 	Brain Products GmbH
Fz	60.7385 	0.0000 	59.4629 	Brain Products GmbH
F1	59.9127 	26.0421 	54.3808 	Brain Products GmbH
F3	57.5511 	48.2004 	39.8697 	Brain Products GmbH
F5	54.0379 	63.0582 	18.1264 	Brain Products GmbH
F7	49.8714 	68.4233 	-7.4895 	Brain Products GmbH
FC1	32.4362 	32.3514 	71.5981 	Brain Products GmbH
FC3	30.9553 	59.2750 	52.4714 	Brain Products GmbH
FC5	28.7628 	76.2474 	24.1669 	Brain Products GmbH
FT7	26.2075 	80.4100 	-8.5086 	Brain Products GmbH
Cz	5.20E-15	0.0000 	85.0000 	Brain Products GmbH
C1	2.11E-15	34.5374 	77.6670 	Brain Products GmbH
C3	3.87E-15	63.1713 	56.8717 	Brain Products GmbH
C5	4.95E-15	80.8315 	26.2918 	Brain Products GmbH
T7	5.18E-15	84.5385 	-8.8451 	Brain Products GmbH
CP1	-32.4362 	32.3514 	71.5981 	Brain Products GmbH
CP3	-30.9553 	59.2750 	52.4714 	Brain Products GmbH
CP5	-28.7628 	76.2474 	24.1669 	Brain Products GmbH
TP7	-26.2075 	80.4100 	-8.5086 	Brain Products GmbH
TP9	-23.3016 	70.0758 	-42.0882 	Brain Products GmbH
Pz	-60.7385 	-7.44E-15	59.4629 	Brain Products GmbH
P1	-59.9127 	26.0421 	54.3808 	Brain Products GmbH
P3	-57.5511 	48.2004 	39.8697 	Brain Products GmbH
P5	-54.0379 	63.0582 	18.1264 	Brain Products GmbH
P7	-49.8714 	68.4233 	-7.4895 	Brain Products GmbH
PO3	-76.1528 	31.4828 	20.8468 	Brain Products GmbH
PO7	-68.6911 	49.7094 	-5.9589 	Brain Products GmbH
Oz	-84.9812 	-1.04E-14	-1.7860 	Brain Products GmbH
O1	-80.7840 	26.1330 	-4.0011 	Brain Products GmbH
Fpz	84.9812 	0.0000 	-1.7860 	Brain Products GmbH
Fp2	80.7840 	-26.1330 	-4.0011 	Brain Products GmbH
AF4	76.1528 	-31.4828 	20.8468 	Brain Products GmbH
AF8	68.7209 	-49.6689 	-5.9530 	Brain Products GmbH
F2	59.8744 	-26.0254 	54.4310 	Brain Products GmbH
F4	57.5840 	-48.1426 	39.8920 	Brain Products GmbH
F6	54.0263 	-63.0447 	18.2076 	Brain Products GmbH
F8	49.9265 	-68.3836 	-7.4851 	Brain Products GmbH
FC2	32.4362 	-32.3514 	71.5981 	Brain Products GmbH
FC4	30.9553 	-59.2750 	52.4714 	Brain Products GmbH
FC6	28.7628 	-76.2474 	24.1669 	Brain Products GmbH
FT8	26.2075 	-80.4100 	-8.5086 	Brain Products GmbH
C2	2.12E-15	-34.6092 	77.6351 	Brain Products GmbH
C4	3.87E-15	-63.1673 	56.8761 	Brain Products GmbH
C6	4.95E-15	-80.8315 	26.2918 	Brain Products GmbH
T8	5.18E-15	-84.5385 	-8.8451 	Brain Products GmbH
CPz	-32.9279 	-4.03E-15	78.3630 	Brain Products GmbH
CP2	-32.4362 	-32.3514 	71.5981 	Brain Products GmbH
CP4	-30.9553 	-59.2750 	52.4714 	Brain Products GmbH
CP6	-28.7628 	-76.2474 	24.1669 	Brain Products GmbH
TP8	-26.2848 	-80.3851 	-8.5057 	Brain Products GmbH
TP10	-23.3016 	-70.0758 	-42.0882 	Brain Products GmbH
P2	-59.8744 	-26.0254 	54.4310 	Brain Products GmbH
P4	-57.5840 	-48.1426 	39.8920 	Brain Products GmbH
P6	-54.0263 	-63.0447 	18.2076 	Brain Products GmbH
P8	-49.9265 	-68.3836 	-7.4851 	Brain Products GmbH
POz	-79.0255 	-9.68E-15	31.3044 	Brain Products GmbH
PO4	-76.1528 	-31.4828 	20.8468 	Brain Products GmbH
PO8	-68.7209 	-49.6689 	-5.9530 	Brain Products GmbH
O2	-80.7840 	-26.1330 	-4.0011 	Brain Products GmbH
